Year,Serie,Age,Sex,Value
2019,Número de personas colegiadas en enfermería por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,0.0
2010,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,4.9
2011,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,5.0
2012,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,5.5
2013,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,5.8
2014,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,6.3
2015,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,6.8
2016,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,7.2
2017,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,7.3
2018,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,7.4
2019,Número de personas colegiadas en odontología y estomatología por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,0.0
2010,Número de personas colegiadas en farmacia por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,11.3
2011,Número de personas colegiadas en farmacia por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,11.4
2012,Número de personas colegiadas en farmacia por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,11.6
2013,Número de personas colegiadas en farmacia por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,11.7
2014,Número de personas colegiadas en farmacia por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,11.9
2015,Número de personas colegiadas en farmacia por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,12.2
2016,Número de personas colegiadas en farmacia por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,12.1
2017,Número de personas colegiadas en farmacia por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,12.5
2018,Número de personas colegiadas en farmacia por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,12.7
2019,Número de personas colegiadas en farmacia por cada 10.000 habitantes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,0.0
